family,N_params_B,D_tokens_B,val_loss,predicted_loss,residual,bias_corrected_prediction_diagnostic,bias_corrected_residual_diagnostic
XuanYuan 2.0,176.2,366.0,1.9879,1.988507664463783,-0.0006076644637829087,1.9879151090140301,-1.5109014030123546e-05
BLOOM-176B,176.2,379.0,1.9856,1.9861968103445313,-0.0005968103445312956,1.9856042548947785,-4.254894778510376e-06
Jurassic-1-Jumbo,178.0,300.0,2.0013,2.0019022131541058,-0.0006022131541056908,2.0013096577043528,-9.657704352683538e-06
Falcon-180B,180.0,3500.0,1.8765,1.8767106784506358,-0.0002106784506357151,1.876118123000883,0.00038187699911707007
SenseChat,180.0,3601.9,1.8754,1.8756997872167323,-0.0002997872167322946,1.8751072317669795,0.0002927682330204906
Mi:dm 200B,200.0,1000.0,1.9272,1.9276450787136958,-0.0004450787136958123,1.927052523263943,0.00014747673605697287
Amazon Titan,200.0,4000.0,1.8697,1.869943909689925,-0.00024390968992515916,1.8693513542401723,0.000348645759827626
HyperCLOVA 204B,204.0,560.0,1.9584,1.9588659614915924,-0.00046596149159250366,1.9582734060418396,0.00012659395816028152
PanGu-α,207.0,41.2,2.1845,2.1856135640445795,-0.001113564044579629,2.1850210085948265,-0.0005210085948266219
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1.8109120486107413,-0.00011204861074132211,1.8103194931609885,0.00048050683901146307
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1.8109120486107413,-0.00011204861074132211,1.8103194931609885,0.00048050683901146307
Qwen3-235B-A22B,235.0,36000.0,1.8108,1.8109120486107413,-0.00011204861074132211,1.8103194931609885,0.00048050683901146307
K-EXAONE,236.0,11000.0,1.8366,1.836731099147603,-0.00013109914760289776,1.8361385436978501,0.0004614563021498874
DeepSeek-V2.5,236.0,1263.6,1.9127,1.9130743282429885,-0.00037432824298844203,1.9124817727932357,0.00021822720676434315
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1.8746928222723263,-0.0002928222723261875,1.8741002668225735,0.00029973317742659766
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1.8449326498683218,-0.00013264986832184356,1.844340094418569,0.0004599055814309416
Yuan 1.0,245.7,180.0,2.0335,2.034217698734751,-0.0007176987347508046,2.033625143284998,-0.00012514328499779737
Aramco Metabrain AI,250.0,7000.0,1.8478,1.8480266950409812,-0.00022669504098105087,1.8474341395912284,0.0003658604087717343
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1.9504442659168293,-0.0004442659168293339,1.9498517104670765,0.00014828953292345126
ERNIE 3.0 Titan,260.0,668.0,1.9436,1.944107276004832,-0.0005072760048319136,1.9435147205550791,8.527944492087158e-05
ST-MoE,269.0,1500.0,1.9024,1.9027939627929369,-0.00039396279293679726,1.902201407343184,0.00019859265681598792
Gopher (280B),280.0,300.0,1.9926,1.9932228159677474,-0.000622815967747492,1.9926302605179946,-3.026051799470686e-05
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1.8382916834922607,-0.0001916834922606192,1.837699128042508,0.000400871957492166
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1.8989317636000558,-0.00033176360005571226,1.898339208150303,0.0002607918496970729
EXAONE 1.0,300.0,942.0,1.9227,1.9231449422192082,-0.00044494221920809984,1.9225523867694554,0.00014761323054468534
SB-LM,300.0,1800.0,1.8926,1.8929017877039045,-0.00030178770390443255,1.8923092322541517,0.00029076774584835263
MiMo-V2-Flash,309.0,1310.7,1.9062,1.9065246801692415,-0.0003246801692415868,1.9059321247194887,0.00026787528051119835
Grok-1,314.0,6200.0,1.8474,1.847583060751776,-0.00018306075177609848,1.8469905053020232,0.0004094946979766867
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1.8639591934942796,-0.00025919349427971916,1.8633666380445268,0.000333361955473066
Nemotron-4 340B,340.0,9000.0,1.8354,1.8355801265863505,-0.00018012658635058187,1.8349875711365977,0.0004124288634022033
PaLM 2,340.0,3600.0,1.8637,1.8639396929934835,-0.00023969299348358675,1.8633471375437307,0.00035286245626919843
GLM-4.5,355.0,23100.0,1.8123,1.8123737430153373,-7.374301533724648e-05,1.8117811875655845,0.0005188124344155387
GLM-4.6,357.0,23000.0,1.8123,1.8123725191532247,-7.251915322470381e-05,1.811779963703472,0.0005200362965280814
GLM-4.7,358.0,2057.7,1.884,1.884337489180293,-0.0003374891802931934,1.8837449337305403,0.00025506626945959177
Hunyuan-Large,389.0,7000.0,1.8403,1.8404660812424847,-0.00016608124248462808,1.839873525792732,0.0004264742072681571
Arcee Trinity Large,398.0,555.3,1.9471,1.9475650233185335,-0.0004650233185334862,1.9469724678687808,0.00012753213121929896
Llama 4 Maverick,400.0,30000.0,1.8051,1.805205404571328,-0.00010540457132801606,1.8046128491215752,0.0004871508784247691
Hermes 3 405B,405.0,0.3,3.4691,3.4730051434580593,-0.003905143458059257,3.4724125880083063,-0.0033125880083062498
Llama 3.1-405B,405.0,15600.0,1.8188,1.8189207487119277,-0.00012074871192768732,1.8183281932621749,0.00047180673782509785
MiniMax-M1-80k,456.0,7500.0,1.8359,1.8360239867220038,-0.00012398672200375493,1.835431431272251,0.00046856872774903024
MiniMax-M1-40k,456.0,7500.0,1.8359,1.8360239867220038,-0.00012398672200375493,1.835431431272251,0.00046856872774903024
MiniMax-Text-01,456.0,7200.0,1.837,1.837197068734308,-0.00019706873430802574,1.8366045132845552,0.00039548671544475944
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1.835260520941893,-0.0001605209418931164,1.8346679654921403,0.0004320345078596688
Arctic,480.0,133.1,2.0479,2.0486817598435483,-0.0007817598435484463,2.0480892043937953,-0.00018920439379543907
Doubao-pro,500.0,8350.0,1.8315,1.83164046281005,-0.00014046281005009043,1.8310479073602972,0.00045209263970269475
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,2.5102764408449723,-0.0018764408449722936,2.5096838853952192,-0.0012838853952192864
MegaScale (530B),530.0,300.0,1.9824,1.9830569948139494,-0.0006569948139494297,1.9824644393641966,-6.443936419664453e-05
MegaScale (Production),530.0,1226.4,1.9008,1.9012003859507072,-0.00040038595070712724,1.9006078305009544,0.00019216949904565794
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1.9905783783076494,-0.0006783783076493854,1.9899858228578966,-8.582285789660027e-05
U-PaLM (540B),540.0,1.3,2.8812,2.883943152461645,-0.0027431524616448044,2.883350597011892,-0.002150597011891797
Flan-PaLM 540B,540.0,1.4,2.8576,2.860285762935314,-0.0026857629353136403,2.8596932074855608,-0.002093207485560633
Minerva (540B),540.4,26.0,2.2285,2.2297721144383855,-0.0012721144383855965,2.2291795589886325,-0.0006795589886325892
PaLM (540B),540.4,780.0,1.9234,1.9238068166848923,-0.00040681668489228606,1.9232142612351395,0.00018573876486049912
LongCat-Flash,560.0,23000.0,1.8055,1.805561025514262,-6.102551426190317e-05,1.8049684700645092,0.000531529935490882
Hunyuan-TurboS,560.0,16000.0,1.8134,1.8135369319635128,-0.0001369319635129429,1.81294437651376,0.0004556234862398423
SenseChat 5.0,600.0,1835.0,1.8811,1.8813932952809116,-0.0002932952809115985,1.8808007398311588,0.00029926016884118667
GShard (600B),600.0,1000.0,1.909,1.9094288800692545,-0.0004288800692544559,1.9088363246195017,0.0001636753804983293
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1.9108616690263411,-0.00036166902634104936,1.9102691135765884,0.00023088642341173582
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1.9169636102067382,-0.0004636102067381298,1.9163710547569854,0.00012894524301465538
DeepSeek-V3.1,671.0,840.0,1.9165,1.9169007893600443,-0.00040078936004417365,1.9163082339102915,0.00019176608970861153
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1.8129029662265561,-0.00010296622655614485,1.8123104107768033,0.0004895892231966403
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1.8129029662265561,-0.00010296622655614485,1.8123104107768033,0.0004895892231966403
DeepSeek-R1,671.0,14800.0,1.8128,1.8129029662265561,-0.00010296622655614485,1.8123104107768033,0.0004895892231966403
DeepSeek-V3,671.0,14800.0,1.8128,1.8129029662265561,-0.00010296622655614485,1.8123104107768033,0.0004895892231966403
Pangu Ultra MoE,718.0,717.0,1.9241,1.9245557236933009,-0.00045572369330093565,1.923963168243548,0.00013683175645184953
GLM-5,744.0,1532.3,1.886,1.8863907037812842,-0.00039070378128425176,1.8857981483315314,0.00020185166846853342
Kimi K2 Thinking,1000.0,700.0,1.9214,1.9218513240029935,-0.00045132400299352504,1.9212587685532407,0.00014123144675926014
Ling-1T,1000.0,20000.0,1.8011,1.801168827771234,-6.882777123418116e-05,1.8005762723214813,0.000523727678518604
Qwen3-Max,1000.0,36000.0,1.7894,1.7894003746699443,-3.746699441808943e-07,1.7888078192201915,0.0005921807798086043
Kimi K2,1000.0,15500.0,1.8068,1.8069056581458536,-0.00010565814585361544,1.8063131026961008,0.00048689730389916974
DLRM-2021,1000.0,0.1,4.0812,4.086229713908228,-0.0050297139082280395,4.085637158458475,-0.004437158458475032
M6-T,1002.7,111.8,2.054,2.054847794174452,-0.0008477941744522433,2.054255238724699,-0.00025523872469923603
Kimi K2.5,1040.0,929.5,1.9059,1.9062765666326438,-0.0003765666326438488,1.905684011182891,0.00021598881710893636
PanGu-Σ,1085.0,329.0,1.967,1.967577920858882,-0.0005779208588818641,1.9669853654091292,1.4634590870921116e-05
MoE-1.1T,1100.0,112.0,2.0528,2.0536349099940483,-0.0008349099940483384,2.0530423545442953,-0.0002423545442953312
GLaM,1200.0,600.0,1.9281,1.9285598560433717,-0.00045985604337173136,1.9279673005936189,0.00013269940638105382
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1.9281568393177868,-0.00045683931778683906,1.927564283868034,0.00013571613196594612
Switch,1571.0,86.4,2.074,2.0748440211109407,-0.0008440211109408402,2.0742514656611877,-0.000251465661187833
Wu Dao 2.0,1750.0,4900.0,1.8325,1.8327340921308408,-0.00023409213084080172,1.832141536681088,0.00035846331891198346
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1.8292855871659885,-0.0001855871659885988,1.8286930317162358,0.00040696828376418637
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1.8292855871659885,-0.0001855871659885988,1.8286930317162358,0.00040696828376418637
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1.7857462845420045,-4.628454200439336e-05,1.7851537290922517,0.0005462709077483918
Grok 4,3000.0,27777.8,1.7838,1.7838139460749098,-1.3946074909787498e-05,1.783221390625157,0.0005786093748429977
Grok 3,3000.0,19444.4,1.7912,1.7912430528118315,-4.305281183158982e-05,1.7906504973620787,0.0005495026379211954
DLRM-2022,3000.0,0.1,4.0707,4.075689779243416,-0.004989779243415704,4.075097223793663,-0.004397223793662697
M6-10T,10000.0,0.1,4.0628,4.067871023522678,-0.005071023522678075,4.067278468072925,-0.004478468072925068
